Date,Rainfall_mm,Sunshine_hours,Avg_Temperature_C,Season,Original_Rainfall_mm
2024-01-01,52.43561663863074,5.14792832850022,18.289762941133446,Rainy,37.454011884736246
2024-01-02,80.0,9.010452813497968,31.953982543106424,Rainy,95.07143064099162
2024-01-03,80.0,9.054514489016189,32.9138925197378,Rainy,73.1993941811405
2024-01-04,80.0,1.2374864260311913,27.042130937427345,Rainy,59.86584841970366
2024-01-05,21.84260966194111,10.8306348801548,29.14641318203028,Rainy,15.601864044243651
2024-01-06,21.839232847068367,6.063028469374286,32.75999009883673,Rainy,15.599452033620263
2024-01-07,8.131705703547924,9.9174895932929,29.315818149014376,Rainy,5.8083612168199465
2024-01-08,80.0,3.840595212367341,20.440624686628183,Rainy,86.61761457749351
2024-01-09,80.0,10.746278741954406,27.22061376266901,Rainy,60.11150117432088
2024-01-10,80.0,4.670420144809958,27.70744074212569,Rainy,70.80725777960456
2024-01-11,2.8818292014123426,0.1300518177635803,24.786090740838176,Rainy,2.0584494295802447
2024-01-12,80.0,10.864583717031165,29.783107769995567,Rainy,96.99098521619943
2024-01-13,80.0,1.0954401214336027,32.94987223630424,Rainy,83.24426408004217
2024-01-14,29.72747549495866,3.8317636510849775,32.80909620650842,Rainy,21.233911067827616
2024-01-15,25.455495408994086,11.40074360460966,25.213429942466117,Rainy,18.182496720710063
2024-01-16,25.67663137948073,11.407285763250671,19.81180873345208,Rainy,18.34045098534338
2024-01-17,42.593914014335276,6.881254657479433,33.75745918339735,Rainy,30.42422429595377
2024-01-18,73.4659004285133,7.582046546037591,31.422369383134946,Rainy,52.475643163223786
2024-01-19,60.47230260989619,5.381346263739838,19.99460289925227,Rainy,43.19450186421157
2024-01-20,40.772079627725866,3.5185292603767744,32.73347012187796,Rainy,29.122914019804192
2024-01-21,80.0,3.943974544438992,31.91834179299405,Rainy,61.18528947223795
2024-01-22,19.529140491285855,8.07022147292446,26.301408914017152,Rainy,13.949386065204184
2024-01-23,40.900250794930535,9.02849435325216,27.460406971918868,Rainy,29.21446485352181
2024-01-24,51.29065806111684,9.498948524710183,24.384043261922084,Rainy,36.63618432936917
2024-01-25,63.84979779038504,9.475417713534648,18.8761862211525,Rainy,45.6069984217036
2024-01-26,80.0,1.0944732365842844,23.363155866334417,Rainy,78.51759613930136
2024-01-27,27.95432950217036,5.933043656430978,30.845655177568183,Rainy,19.96737821583597
2024-01-28,71.99282137790563,0.6907051201997314,18.07411236807365,Rainy,51.42344384136116
2024-01-29,80.0,6.594346587884827,23.335986747058307,Rainy,59.24145688620425
2024-01-30,6.503057780799682,5.298366016480524,24.37069909745509,Rainy,4.645041271999773
2024-01-31,80.0,10.652450193099597,26.598329647006764,Rainy,60.75448519014384
2024-02-01,23.873377316220814,4.210980150624945,32.71768986260417,Rainy,17.052412368729154
2024-02-02,9.107223017939132,1.4048041971312704,23.54153590985538,Rainy,6.505159298527952
2024-02-03,80.0,1.7159001846340305,23.551251230339645,Rainy,94.88855372533332
2024-02-04,80.0,9.138127580609666,29.80001996975597,Rainy,96.56320330745594
2024-02-05,80.0,7.418616759795133,25.235487054236916,Rainy,80.83973481164611
2024-02-06,42.645927684271896,1.213472113473483,21.59367716703971,Rainy,30.46137691733707
2024-02-07,13.674095960893743,1.0092816733799692,25.239032258123096,Rainy,9.767211400638388
2024-02-08,80.0,8.41162957750944,20.2537123260768,Rainy,68.42330265121569
2024-02-09,61.62134912354418,0.8731560763703223,20.822191784099573,Rainy,44.01524937396013
2024-02-10,17.085352878269035,9.862320711484276,25.97388436383168,Rainy,12.203823484477883
2024-02-11,69.32476741557782,8.474906725877954,24.70280719207277,Rainy,49.51769101112702
2024-02-12,4.814392956130575,0.9761853677027972,32.6375344170896,Rainy,3.43885211152184
2024-02-13,80.0,1.018052569022303,23.79830238586613,Rainy,90.9320402078782
2024-02-14,36.229197424002365,11.839674942014106,27.289413604448697,Rainy,25.87799816000169
2024-02-15,80.0,4.491249549073444,28.11622860671249,Rainy,66.2522284353982
2024-02-16,43.639550652517535,4.447705764802691,18.209511305413336,Rainy,31.171107608941096
